datetime,price(EUR/MWh),country
2022-12-31 23:00:00+00:00,-4.39,Belgium
2023-01-01 00:00:00+00:00,-1.75,Belgium
2023-01-01 01:00:00+00:00,-1.46,Belgium
2023-01-01 02:00:00+00:00,-5.27,Belgium
2023-01-01 03:00:00+00:00,-4.41,Belgium
2023-01-01 04:00:00+00:00,-5.4,Belgium
2023-01-01 05:00:00+00:00,-4.69,Belgium
2023-01-01 06:00:00+00:00,-1.31,Belgium
2023-01-01 07:00:00+00:00,-1.57,Belgium
2023-01-01 08:00:00+00:00,-1.03,Belgium
2023-01-01 09:00:00+00:00,-0.23,Belgium
2023-01-01 10:00:00+00:00,-0.74,Belgium
2023-01-01 11:00:00+00:00,-0.57,Belgium
2023-01-01 12:00:00+00:00,-0.12,Belgium
2023-01-01 13:00:00+00:00,0.85,Belgium
2023-01-01 14:00:00+00:00,23.5,Belgium
2023-01-01 15:00:00+00:00,36.54,Belgium
2023-01-01 16:00:00+00:00,46.03,Belgium
2023-01-01 17:00:00+00:00,36.64,Belgium
2023-01-01 18:00:00+00:00,54.95,Belgium
2023-01-01 19:00:00+00:00,45.83,Belgium
2023-01-01 20:00:00+00:00,36.57,Belgium
2023-01-01 21:00:00+00:00,45.96,Belgium
2023-01-01 22:00:00+00:00,35.0,Belgium
2023-01-01 23:00:00+00:00,69.92,Belgium
2023-01-02 00:00:00+00:00,59.14,Belgium
2023-01-02 01:00:00+00:00,52.93,Belgium
2023-01-02 02:00:00+00:00,42.59,Belgium
2023-01-02 03:00:00+00:00,50.08,Belgium
2023-01-02 04:00:00+00:00,69.72,Belgium
2023-01-02 05:00:00+00:00,105.08,Belgium
2023-01-02 06:00:00+00:00,140.64,Belgium
2023-01-02 07:00:00+00:00,151.89,Belgium
2023-01-02 08:00:00+00:00,158.84,Belgium
2023-01-02 09:00:00+00:00,145.61,Belgium
2023-01-02 10:00:00+00:00,143.35,Belgium
2023-01-02 11:00:00+00:00,144.38,Belgium
2023-01-02 12:00:00+00:00,143.76,Belgium
